XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
10/30/2025 17:15,3995.31,4001.1,3994.79,3999.53,422,0.11,
10/30/2025 17:10,4000.28,4000.28,3995.45,3995.45,-483,-0.12,
10/30/2025 17:05,4002.54,4002.54,3998.95,4000.25,-229,-0.06,
10/30/2025 17:00,4001.58,4003.99,4000.41,4002.87,129,0.03,
10/30/2025 16:55,4000.18,4001.99,3999.39,4001.24,106,0.03,
10/30/2025 16:50,3997.75,4001.29,3997.37,4000.26,251,0.06,
10/30/2025 16:45,4002.81,4003.25,3997.07,3997.74,-507,-0.13,
10/30/2025 16:40,3998.79,4002.92,3998.79,4002.76,397,0.10,
10/30/2025 16:35,3997.4,3999.35,3996.11,3998.63,123,0.03,
10/30/2025 16:30,3995.5,4000.74,3994.86,3997.61,211,0.05,
10/30/2025 16:25,3994.24,3997.08,3991.6,3995.52,128,0.03,
10/30/2025 16:20,3995.88,3996.87,3992.12,3993.83,-205,-0.05,
10/30/2025 16:15,3995.18,3998.6,3991.83,3996.21,103,0.03,
10/30/2025 16:10,3998.16,3999.65,3994.25,3995.02,-314,-0.08,
10/30/2025 16:05,3997.36,4001.22,3996.23,3998.18,82,0.02,
10/30/2025 16:00,4001.83,4004.12,3995.77,3997.23,-460,-0.12,
10/30/2025 15:55,4004.85,4007.59,4000.76,4001.88,-297,-0.07,
10/30/2025 15:50,4006.12,4006.6,4003.11,4004.82,-130,-0.03,
10/30/2025 15:45,4004.83,4008.7,4002.82,4006.06,123,0.03,
10/30/2025 15:40,4001.33,4005.53,3998.78,4004.61,328,0.08,
10/30/2025 15:35,4001.85,4003.8,3999,4001.24,-61,-0.02,
10/30/2025 15:30,3998.74,4002.59,3997.83,4001.96,322,0.08,
10/30/2025 15:25,3996.76,4000.4,3994.63,3999.02,226,0.06,
10/30/2025 15:20,4001.03,4001.44,3997.8,3999.72,-131,-0.03,
10/30/2025 15:15,4000.32,4000.38,3999.99,4000.38,6,0.00,
10/30/2025 15:10,3995.97,4003.42,3995.64,4000.56,459,0.11,
10/30/2025 15:05,3995.44,3996.87,3988.11,3995.93,49,0.01,
10/30/2025 15:00,3996.35,3999.34,3990.44,3995.51,-84,-0.02,
10/30/2025 14:55,3996.41,3998.34,3990.88,3996.26,-15,0.00,
10/30/2025 14:50,3999.17,4000.1,3995.1,3996.34,-283,-0.07,
10/30/2025 14:45,3993.2,4002.15,3989.95,3998.63,543,0.14,
10/30/2025 14:40,3991.58,3994.03,3987.03,3992.84,126,0.03,
10/30/2025 14:35,3995.71,3996.21,3988.13,3990.05,-566,-0.14,
10/30/2025 14:30,3998.04,4000.74,3992.08,3995.37,-267,-0.07,
10/30/2025 14:25,4003.23,4003.39,3995.6,3997.71,-552,-0.14,
10/30/2025 14:20,4006.86,4009.69,3996.43,4003.22,-364,-0.09,
10/30/2025 14:15,4011.36,4012.84,4004.46,4007.11,-425,-0.11,
10/30/2025 14:10,4009.58,4014.42,4005.44,4011.07,149,0.04,
10/30/2025 14:05,3997.91,3999.6,3997.32,3998.37,46,0.01,
